Age,Workclass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Country,probabilities,score
46,Local-gov,236827,9th,5,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,0.9997999|0.00020010026,0.999799907207489
17,?,280670,10th,6,Never-married,?,Own-child,White,Female,0,0,40,United-States,0.9999908|9.233134e-06,0.9999908208847046
50,Private,185846,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0.7367139|0.2632861,0.7367138862609863
51,Private,57101,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0.95777726|0.042222705,0.9577772617340088
71,Self-emp-inc,133821,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,0.671706|0.32829395,0.6717060208320618
39,Self-emp-inc,372525,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0.11574682|0.8842532,0.11574681848287582
47,State-gov,167281,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0.82760894|0.17239107,0.8276089429855347
36,Private,174887,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0.9868776|0.013122308,0.9868776202201843
32,Private,272376,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0.9930736|0.0069263666,0.993073582649231
45,Private,220641,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0.96704715|0.032952826,0.9670471549034119
34,Self-emp-not-inc,168906,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,0.9933513|0.0066487296,0.9933512806892395
32,Private,208180,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,0.53045607|0.4695439,0.5304560661315918
29,Private,351324,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0.9995364|0.0004636397,0.999536395072937
33,Private,188861,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0.9005624|0.09943759,0.9005624055862427
65,Private,174056,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0.96931535|0.03068468,0.9693153500556946
